time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s]
0.000000,0.059438,0.006934,1.002987,-0.199286,0.170454,-0.043151,0.753592,0.325701,0.997715,-0.337207,0.108219,0.022913,0.701699,-0.409511,0.995497,0.011552,0.323249,0.001405,-0.723786,0.414514,0.994049,0.141074,-0.410715,0.028582,-0.770519,-0.345672,0.999570,0.499442,-0.068998,0.004161
0.020000,0.055452,0.010343,1.002124,-0.199395,0.170441,-0.043157,0.746847,0.327865,0.998173,-0.337312,0.108266,0.022916,0.701930,-0.403046,0.995525,0.011547,0.323359,0.001407,-0.720964,0.406299,0.994621,0.141117,-0.410838,0.028588,-0.760530,-0.347052,0.999653,0.499586,-0.069006,0.004161
0.040000,0.051461,0.013751,1.001261,-0.199724,0.170401,-0.043175,0.740098,0.330032,0.998632,-0.337624,0.108408,0.022925,0.702161,-0.396576,0.995553,0.011533,0.323688,0.001415,-0.718141,0.398079,0.995193,0.141245,-0.411207,0.028605,-0.750534,-0.348432,0.999736,0.500019,-0.069032,0.004160
0.060000,0.047461,0.017159,1.000397,-0.200271,0.170334,-0.043205,0.733341,0.332202,0.999090,-0.338146,0.108644,0.022940,0.702391,-0.390097,0.995582,0.011510,0.324236,0.001427,-0.715314,0.389849,0.995765,0.141458,-0.411822,0.028634,-0.740527,-0.349814,0.999819,0.500741,-0.069074,0.004159
0.080000,0.043449,0.020564,0.999532,-0.201038,0.170241,-0.043247,0.726571,0.334378,0.999549,-0.338876,0.108975,0.022962,0.702621,-0.383605,0.995611,0.011478,0.325004,0.001445,-0.712482,0.381604,0.996338,0.141757,-0.412683,0.028674,-0.730502,-0.351196,0.999903,0.501752,-0.069133,0.004157
0.100000,0.039418,0.023968,0.998667,-0.202023,0.170122,-0.043302,0.719784,0.336562,1.000009,-0.339814,0.109400,0.022990,0.702850,-0.377095,0.995640,0.011436,0.325991,0.001467,-0.709643,0.373340,0.996912,0.142142,-0.413790,0.028726,-0.720455,-0.352579,0.999986,0.503052,-0.069208,0.004154
0.120000,0.035366,0.027369,0.997800,-0.203295,0.169946,-0.043366,0.712977,0.338755,1.000469,-0.341007,0.109944,0.023023,0.703078,-0.370563,0.995669,0.011375,0.327242,0.001494,-0.706795,0.365050,0.997487,0.142628,-0.415189,0.028789,-0.710378,-0.353964,1.000069,0.504708,-0.069304,0.004150
0.140000,0.031284,0.030765,0.996932,-0.204921,0.169682,-0.043438,0.706142,0.340961,1.000930,-0.342499,0.110631,0.023061,0.703305,-0.364003,0.995699,0.011282,0.328800,0.001524,-0.703937,0.356730,0.998064,0.143234,-0.416926,0.028866,-0.700264,-0.355351,1.000152,0.506785,-0.069423,0.004145
0.160000,0.027167,0.034156,0.996063,-0.206902,0.169332,-0.043518,0.699275,0.343181,1.001391,-0.344291,0.111462,0.023102,0.703530,-0.357409,0.995730,0.011158,0.330667,0.001559,-0.701065,0.348371,0.998642,0.143958,-0.419001,0.028955,-0.690104,-0.356741,1.000235,0.509284,-0.069564,0.004137
0.180000,0.023006,0.037538,0.995192,-0.209237,0.168894,-0.043605,0.692368,0.345420,1.001854,-0.346382,0.112437,0.023148,0.703751,-0.350775,0.995762,0.011003,0.332842,0.001597,-0.698178,0.339968,0.999222,0.144801,-0.421414,0.029056,-0.679890,-0.358134,1.000317,0.512206,-0.069729,0.004127
0.200000,0.018795,0.040911,0.994318,-0.211926,0.168369,-0.043700,0.685417,0.347680,1.002317,-0.348773,0.113555,0.023199,0.703969,-0.344094,0.995794,0.010817,0.335324,0.001640,-0.695272,0.331512,0.999804,0.145763,-0.424166,0.029171,-0.669613,-0.359530,1.000400,0.515549,-0.069917,0.004116
0.220000,0.014526,0.044272,0.993443,-0.214989,0.167724,-0.043796,0.678416,0.349963,1.002782,-0.351465,0.114819,0.023249,0.704184,-0.337360,0.995827,0.010591,0.338115,0.001685,-0.692347,0.322999,1.000389,0.146851,-0.427255,0.029294,-0.659265,-0.360931,1.000482,0.519317,-0.070119,0.004101
0.240000,0.010193,0.047619,0.992567,-0.218446,0.166926,-0.043885,0.671357,0.352274,1.003247,-0.354460,0.116231,0.023294,0.704393,-0.330567,0.995862,0.010318,0.341215,0.001733,-0.689398,0.314420,1.000976,0.148072,-0.430682,0.029422,-0.648837,-0.362335,1.000564,0.523510,-0.070328,0.004084
0.260000,0.005786,0.050948,0.991688,-0.222297,0.165976,-0.043966,0.664235,0.354614,1.003713,-0.357757,0.117791,0.023334,0.704596,-0.323709,0.995897,0.009996,0.344624,0.001783,-0.686423,0.305769,1.001566,0.149425,-0.434447,0.029554,-0.638322,-0.363744,1.000645,0.528129,-0.070543,0.004064
0.280000,0.001298,0.054257,0.990808,-0.226541,0.164872,-0.044040,0.657044,0.356986,1.004180,-0.361358,0.119500,0.023369,0.704792,-0.316780,0.995933,0.009626,0.348341,0.001836,-0.683420,0.297040,1.002158,0.150910,-0.438549,0.029692,-0.627709,-0.365157,1.000726,0.533174,-0.070764,0.004041
0.300000,-0.003278,0.057542,0.989927,-0.231179,0.163616,-0.044107,0.649779,0.359395,1.004648,-0.365261,0.121356,0.023400,0.704981,-0.309773,0.995970,0.009208,0.352368,0.001891,-0.680386,0.288225,1.002754,0.152528,-0.442990,0.029835,-0.616992,-0.366574,1.000807,0.538645,-0.070992,0.004015
0.320000,-0.007951,0.060800,0.989044,-0.236177,0.162183,-0.044156,0.642432,0.361841,1.005116,-0.369445,0.123350,0.023418,0.705160,-0.302683,0.996009,0.008734,0.356672,0.001948,-0.677318,0.279318,1.003352,0.154274,-0.447743,0.029976,-0.606161,-0.367997,1.000887,0.544492,-0.071207,0.003985
0.340000,-0.012728,0.064028,0.988161,-0.241502,0.160548,-0.044176,0.634999,0.364329,1.005585,-0.373888,0.125471,0.023417,0.705330,-0.295505,0.996048,0.008199,0.361223,0.002006,-0.674214,0.270313,1.003953,0.156147,-0.452783,0.030109,-0.595210,-0.369423,1.000966,0.550666,-0.071389,0.003952
0.360000,-0.017614,0.067221,0.987277,-0.247155,0.158712,-0.044166,0.627475,0.366861,1.006053,-0.378591,0.127718,0.023396,0.705488,-0.288233,0.996089,0.007601,0.366021,0.002065,-0.671071,0.261205,1.004556,0.158144,-0.458111,0.030233,-0.584132,-0.370852,1.001045,0.557168,-0.071540,0.003915
0.380000,-0.022616,0.070375,0.986394,-0.253134,0.156675,-0.044127,0.619854,0.369439,1.006520,-0.383554,0.130092,0.023356,0.705633,-0.280862,0.996131,0.006941,0.371065,0.002125,-0.667887,0.251987,1.005162,0.160267,-0.463727,0.030349,-0.572921,-0.372284,1.001123,0.563997,-0.071658,0.003875
0.400000,-0.027741,0.073486,0.985512,-0.259440,0.154436,-0.044059,0.612131,0.372066,1.006987,-0.388776,0.132592,0.023296,0.705765,-0.273389,0.996174,0.006218,0.376357,0.002185,-0.664659,0.242654,1.005770,0.162516,-0.469630,0.030457,-0.561570,-0.373718,1.001200,0.571153,-0.071743,0.003831
0.420000,-0.032995,0.076551,0.984632,-0.266009,0.151984,-0.043952,0.604301,0.374743,1.007452,-0.394211,0.135198,0.023212,0.705881,-0.265807,0.996218,0.005415,0.381834,0.002246,-0.661386,0.233200,1.006380,0.164887,-0.475767,0.030547,-0.550073,-0.375153,1.001276,0.578560,-0.071771,0.003784
0.440000,-0.038383,0.079564,0.983754,-0.272776,0.149307,-0.043796,0.596361,0.377474,1.007915,-0.399815,0.137889,0.023098,0.705981,-0.258114,0.996264,0.004514,0.387437,0.002306,-0.658063,0.223622,1.006992,0.167380,-0.482084,0.030610,-0.538427,-0.376588,1.001351,0.586141,-0.071714,0.003733
0.460000,-0.043908,0.082522,0.982880,-0.279742,0.146406,-0.043591,0.588308,0.380259,1.008376,-0.405586,0.140666,0.022955,0.706061,-0.250309,0.996310,0.003514,0.393165,0.002365,-0.654690,0.213916,1.007604,0.169994,-0.488582,0.030647,-0.526626,-0.378021,1.001425,0.593895,-0.071574,0.003678
0.480000,-0.049574,0.085419,0.982011,-0.286907,0.143280,-0.043337,0.580137,0.383101,1.008833,-0.411526,0.143527,0.022782,0.706121,-0.242387,0.996358,0.002416,0.399018,0.002423,-0.651263,0.204078,1.008217,0.172729,-0.495261,0.030658,-0.514670,-0.379451,1.001498,0.601824,-0.071349,0.003619
0.500000,-0.055385,0.088251,0.981147,-0.294270,0.139930,-0.043034,0.571846,0.386001,1.009287,-0.417634,0.146475,0.022580,0.706157,-0.234347,0.996407,0.001220,0.404996,0.002480,-0.647780,0.194104,1.008830,0.175584,-0.502120,0.030641,-0.502552,-0.380875,1.001570,0.609926,-0.071041,0.003557
0.520000,-0.061345,0.091015,0.980290,-0.301742,0.136351,-0.042672,0.563431,0.388961,1.009736,-0.423863,0.149480,0.022344,0.706169,-0.226187,0.996457,-0.000089,0.411038,0.002536,-0.644238,0.183992,1.009443,0.178564,-0.509099,0.030589,-0.490272,-0.382292,1.001640,0.618124,-0.070632,0.003491
