time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s]
0.000000,0.039080,0.005533,0.998392,-0.086750,0.150378,-0.020056,0.741452,0.325072,1.000159,-0.275541,0.026080,0.005148,0.695188,-0.403888,0.997575,0.018528,0.295771,-0.001751,-0.721641,0.408055,1.000367,0.150805,-0.312381,-0.010756,-0.757230,-0.342749,1.001627,0.471280,-0.030884,0.003743
0.020000,0.037345,0.008541,0.997991,-0.086823,0.150367,-0.020054,0.735941,0.325594,1.000262,-0.275629,0.026129,0.005149,0.695559,-0.397972,0.997540,0.018537,0.295872,-0.001747,-0.718624,0.401807,1.000152,0.150850,-0.312489,-0.010758,-0.747804,-0.343367,1.001702,0.471407,-0.030899,0.003743
0.040000,0.035607,0.011548,0.997590,-0.087044,0.150336,-0.020048,0.730426,0.326118,1.000365,-0.275891,0.026273,0.005150,0.695930,-0.392052,0.997505,0.018565,0.296175,-0.001738,-0.715606,0.395555,0.999937,0.150985,-0.312812,-0.010765,-0.738373,-0.343985,1.001777,0.471788,-0.030942,0.003741
0.060000,0.033862,0.014554,0.997189,-0.087411,0.150284,-0.020038,0.724904,0.326646,1.000468,-0.276329,0.026514,0.005152,0.696301,-0.386124,0.997471,0.018611,0.296679,-0.001721,-0.712584,0.389293,0.999722,0.151210,-0.313351,-0.010777,-0.728931,-0.344604,1.001852,0.472423,-0.031013,0.003738
0.080000,0.032109,0.017559,0.996788,-0.087925,0.150211,-0.020024,0.719371,0.327179,1.000571,-0.276942,0.026851,0.005155,0.696674,-0.380183,0.997437,0.018675,0.297386,-0.001699,-0.709557,0.383019,0.999506,0.151525,-0.314105,-0.010793,-0.719474,-0.345226,1.001927,0.473313,-0.031114,0.003734
0.100000,0.030344,0.020563,0.996388,-0.088586,0.150117,-0.020006,0.713825,0.327721,1.000675,-0.277730,0.027285,0.005159,0.697049,-0.374227,0.997403,0.018758,0.298294,-0.001670,-0.706523,0.376728,0.999290,0.151930,-0.315076,-0.010815,-0.709997,-0.345849,1.002001,0.474456,-0.031243,0.003729
0.120000,0.028564,0.023564,0.995988,-0.089452,0.149977,-0.019980,0.708261,0.328272,1.000778,-0.278736,0.027851,0.005164,0.697425,-0.368250,0.997370,0.018856,0.299443,-0.001633,-0.703479,0.370414,0.999073,0.152442,-0.316312,-0.010840,-0.700494,-0.346476,1.002076,0.475911,-0.031414,0.003722
0.140000,0.026764,0.026561,0.995589,-0.090578,0.149769,-0.019941,0.702674,0.328836,1.000881,-0.280004,0.028586,0.005169,0.697803,-0.362247,0.997338,0.018966,0.300872,-0.001590,-0.700424,0.364073,0.998856,0.153081,-0.317864,-0.010871,-0.690958,-0.347106,1.002150,0.477734,-0.031640,0.003713
0.160000,0.024939,0.029554,0.995190,-0.091965,0.149490,-0.019890,0.697059,0.329416,1.000985,-0.281533,0.029491,0.005174,0.698183,-0.356213,0.997306,0.019087,0.302580,-0.001539,-0.697355,0.357698,0.998639,0.153846,-0.319732,-0.010907,-0.681382,-0.347742,1.002224,0.479925,-0.031921,0.003701
0.180000,0.023084,0.032540,0.994793,-0.093614,0.149143,-0.019827,0.691411,0.330017,1.001088,-0.283323,0.030565,0.005180,0.698566,-0.350142,0.997276,0.019219,0.304567,-0.001482,-0.694270,0.351282,0.998420,0.154737,-0.321916,-0.010948,-0.671758,-0.348383,1.002298,0.482485,-0.032257,0.003688
0.200000,0.021193,0.035519,0.994397,-0.095523,0.148726,-0.019751,0.685724,0.330640,1.001192,-0.285374,0.031807,0.005186,0.698952,-0.344029,0.997247,0.019363,0.306833,-0.001416,-0.691165,0.344819,0.998201,0.155753,-0.324417,-0.010993,-0.662080,-0.349032,1.002372,0.485414,-0.032648,0.003672
0.220000,0.019261,0.038489,0.994003,-0.097732,0.148213,-0.019659,0.679994,0.331290,1.001296,-0.287695,0.033241,0.005191,0.699341,-0.337867,0.997219,0.019514,0.309382,-0.001344,-0.688039,0.338303,0.997980,0.156896,-0.327243,-0.011042,-0.652339,-0.349690,1.002445,0.488707,-0.033098,0.003654
0.240000,0.017282,0.041447,0.993611,-0.100278,0.147579,-0.019548,0.674215,0.331971,1.001399,-0.290293,0.034887,0.005195,0.699733,-0.331652,0.997193,0.019668,0.312217,-0.001263,-0.684888,0.331727,0.997759,0.158163,-0.330403,-0.011090,-0.642529,-0.350357,1.002518,0.492361,-0.033610,0.003632
0.260000,0.015248,0.044391,0.993222,-0.103160,0.146823,-0.019417,0.668380,0.332687,1.001503,-0.293167,0.036746,0.005198,0.700128,-0.325376,0.997169,0.019825,0.315338,-0.001175,-0.681711,0.325084,0.997537,0.159555,-0.333899,-0.011139,-0.632642,-0.351034,1.002590,0.496376,-0.034184,0.003608
0.280000,0.013153,0.047319,0.992835,-0.106380,0.145945,-0.019267,0.662486,0.333442,1.001607,-0.296318,0.038817,0.005199,0.700526,-0.319036,0.997146,0.019985,0.318745,-0.001079,-0.678505,0.318369,0.997313,0.161073,-0.337729,-0.011188,-0.622672,-0.351724,1.002662,0.500753,-0.034821,0.003581
0.300000,0.010990,0.050228,0.992451,-0.109936,0.144946,-0.019097,0.656526,0.334241,1.001711,-0.299746,0.041102,0.005198,0.700927,-0.312625,0.997126,0.020148,0.322438,-0.000975,-0.675268,0.311573,0.997089,0.162716,-0.341894,-0.011237,-0.612610,-0.352428,1.002733,0.505491,-0.035519,0.003550
0.320000,0.008753,0.053116,0.992071,-0.113838,0.143801,-0.018905,0.650494,0.335088,1.001815,-0.303434,0.043600,0.005194,0.701332,-0.306137,0.997107,0.020300,0.326388,-0.000864,-0.671996,0.304691,0.996864,0.164472,-0.346374,-0.011282,-0.602450,-0.353145,1.002804,0.510555,-0.036277,0.003517
0.340000,0.006434,0.055979,0.991695,-0.118094,0.142485,-0.018688,0.644387,0.335987,1.001919,-0.307365,0.046313,0.005186,0.701739,-0.299568,0.997091,0.020429,0.330565,-0.000746,-0.668688,0.297716,0.996638,0.166329,-0.351152,-0.011319,-0.592186,-0.353879,1.002874,0.515909,-0.037093,0.003480
0.360000,0.004027,0.058814,0.991324,-0.122703,0.140999,-0.018445,0.638198,0.336942,1.002023,-0.311538,0.049241,0.005174,0.702149,-0.292913,0.997078,0.020533,0.334971,-0.000620,-0.665342,0.290643,0.996411,0.168287,-0.356226,-0.011348,-0.581812,-0.354630,1.002943,0.521553,-0.037967,0.003441
0.380000,0.001524,0.061618,0.990957,-0.127665,0.139343,-0.018178,0.631924,0.337958,1.002126,-0.315954,0.052383,0.005157,0.702560,-0.286167,0.997067,0.020613,0.339604,-0.000487,-0.661956,0.283465,0.996184,0.170346,-0.361596,-0.011369,-0.571322,-0.355398,1.003012,0.527488,-0.038899,0.003397
0.400000,-0.001082,0.064387,0.990597,-0.132981,0.137516,-0.017886,0.625558,0.339039,1.002229,-0.320613,0.055740,0.005135,0.702973,-0.279327,0.997058,0.020670,0.344465,-0.000346,-0.658528,0.276177,0.995956,0.172505,-0.367263,-0.011383,-0.560710,-0.356186,1.003079,0.533713,-0.039889,0.003351
0.420000,-0.003797,0.067117,0.990242,-0.138634,0.135504,-0.017568,0.619098,0.340189,1.002331,-0.325484,0.059294,0.005107,0.703387,-0.272388,0.997053,0.020685,0.349510,-0.000198,-0.655055,0.268773,0.995729,0.174750,-0.373191,-0.011384,-0.549972,-0.356994,1.003146,0.540173,-0.040924,0.003301
0.440000,-0.006629,0.069805,0.989894,-0.144605,0.133293,-0.017226,0.612538,0.341411,1.002433,-0.330535,0.063024,0.005071,0.703800,-0.265346,0.997050,0.020645,0.354695,-0.000045,-0.651537,0.261248,0.995501,0.177061,-0.379342,-0.011369,-0.539102,-0.357823,1.003211,0.546814,-0.041990,0.003248
0.460000,-0.009584,0.072448,0.989553,-0.150895,0.130881,-0.016858,0.605875,0.342711,1.002534,-0.335768,0.066932,0.005026,0.704212,-0.258199,0.997051,0.020548,0.360019,0.000116,-0.647972,0.253598,0.995274,0.179440,-0.385716,-0.011339,-0.528098,-0.358674,1.003276,0.553636,-0.043088,0.003191
0.480000,-0.012667,0.075039,0.989220,-0.157504,0.128270,-0.016466,0.599106,0.344090,1.002634,-0.341181,0.071018,0.004973,0.704622,-0.250944,0.997055,0.020395,0.365483,0.000282,-0.644359,0.245818,0.995048,0.181886,-0.392314,-0.011293,-0.516955,-0.359547,1.003339,0.560637,-0.044219,0.003131
0.500000,-0.015886,0.077577,0.988895,-0.164432,0.125459,-0.016048,0.592227,0.345553,1.002733,-0.346775,0.075281,0.004911,0.705028,-0.243579,0.997062,0.020186,0.371087,0.000455,-0.640696,0.237904,0.994822,0.184399,-0.399136,-0.011232,-0.505671,-0.360443,1.003401,0.567820,-0.045381,0.003068
0.520000,-0.019246,0.080056,0.988578,-0.171639,0.122445,-0.015608,0.585234,0.347102,1.002830,-0.352515,0.079690,0.004840,0.705429,-0.236100,0.997073,0.019904,0.376781,0.000634,-0.636983,0.229851,0.994599,0.186965,-0.406137,-0.011152,-0.494242,-0.361362,1.003462,0.575116,-0.046550,0.003001
0.540000,-0.022753,0.082473,0.988271,-0.179084,0.119226,-0.015146,0.578125,0.348741,1.002926,-0.358365,0.084214,0.004759,0.705823,-0.228507,0.997088,0.019533,0.382517,0.000817,-0.633218,0.221657,0.994377,0.189567,-0.413273,-0.011053,-0.482666,-0.362305,1.003521,0.582459,-0.047703,0.002931
0.560000,-0.026411,0.084824,0.987972,-0.186769,0.115803,-0.014663,0.570899,0.350471,1.003021,-0.364325,0.088854,0.004666,0.706209,-0.220799,0.997106,0.019072,0.388293,0.001006,-0.629400,0.213319,0.994157,0.192207,-0.420543,-0.010933,-0.470943,-0.363270,1.003579,0.589850,-0.048840,0.002857
0.580000,-0.030226,0.087104,0.987684,-0.194691,0.112174,-0.014160,0.563552,0.352296,1.003113,-0.370394,0.093609,0.004564,0.706585,-0.212975,0.997128,0.018522,0.394111,0.001200,-0.625529,0.204835,0.993939,0.194883,-0.427948,-0.010794,-0.459072,-0.364258,1.003635,0.597288,-0.049960,0.002781
0.600000,-0.034201,0.089310,0.987406,-0.202853,0.108340,-0.013635,0.556082,0.354217,1.003203,-0.376574,0.098479,0.004450,0.706950,-0.205034,0.997154,0.017882,0.399970,0.001399,-0.621604,0.196200,0.993725,0.197597,-0.435488,-0.010634,-0.447051,-0.365268,1.003690,0.604773,-0.051064,0.002700
0.620000,-0.038341,0.091436,0.987139,-0.211201,0.104307,-0.013093,0.548488,0.356236,1.003291,-0.382823,0.103428,0.004326,0.707300,-0.196976,0.997184,0.017137,0.405821,0.001602,-0.617625,0.187414,0.993514,0.200338,-0.443114,-0.010454,-0.434881,-0.366300,1.003743,0.612237,-0.052122,0.002617
0.640000,-0.042650,0.093481,0.986883,-0.219685,0.100083,-0.012536,0.540769,0.358354,1.003376,-0.389101,0.108420,0.004189,0.707634,-0.188802,0.997218,0.016270,0.411614,0.001808,-0.613591,0.178476,0.993307,0.203097,-0.450778,-0.010254,-0.422563,-0.367353,1.003795,0.619611,-0.053103,0.002530
0.660000,-0.047129,0.095438,0.986638,-0.228305,0.095668,-0.011964,0.532924,0.360573,1.003458,-0.395409,0.113453,0.004041,0.707950,-0.180512,0.997256,0.015281,0.417349,0.002018,-0.609501,0.169383,0.993104,0.205873,-0.458479,-0.010033,-0.410097,-0.368424,1.003844,0.626897,-0.054009,0.002440
0.680000,-0.051783,0.097306,0.986404,-0.237060,0.091061,-0.011378,0.524952,0.362892,1.003538,-0.401747,0.118529,0.003881,0.708245,-0.172108,0.997299,0.014170,0.423026,0.002232,-0.605356,0.160136,0.992906,0.208667,-0.466219,-0.009792,-0.397487,-0.369513,1.003892,0.634092,-0.054838,0.002346
0.700000,-0.056613,0.099080,0.986183,-0.245951,0.086263,-0.010776,0.516854,0.365314,1.003614,-0.408113,0.123648,0.003709,0.708516,-0.163591,0.997346,0.012937,0.428645,0.002449,-0.601154,0.150734,0.992713,0.211479,-0.473996,-0.009530,-0.384734,-0.370617,1.003938,0.641198,-0.055591,0.002249
0.720000,-0.061621,0.100755,0.985973,-0.254926,0.081285,-0.010164,0.508628,0.367838,1.003686,-0.414485,0.128763,0.003525,0.708761,-0.154963,0.997397,0.011568,0.434161,0.002669,-0.596896,0.141176,0.992525,0.214306,-0.481760,-0.009249,-0.371840,-0.371736,1.003982,0.648161,-0.056248,0.002149
0.740000,-0.066810,0.102330,0.985776,-0.263934,0.076140,-0.009544,0.500275,0.370464,1.003755,-0.420835,0.133829,0.003328,0.708978,-0.146226,0.997452,0.010047,0.439527,0.002890,-0.592582,0.131464,0.992343,0.217147,-0.489462,-0.008950,-0.358809,-0.372866,1.004024,0.654928,-0.056789,0.002046
0.760000,-0.072179,0.103800,0.985591,-0.272975,0.070828,-0.008916,0.491795,0.373191,1.003819,-0.427166,0.138847,0.003119,0.709162,-0.137383,0.997512,0.008375,0.444744,0.003114,-0.588210,0.121598,0.992167,0.220002,-0.497100,-0.008633,-0.345645,-0.374006,1.004064,0.661498,-0.057214,0.001940
0.780000,-0.077729,0.105162,0.985419,-0.282048,0.065348,-0.008280,0.483188,0.376018,1.003879,-0.433475,0.143816,0.002898,0.709312,-0.128437,0.997577,0.006551,0.449811,0.003339,-0.583782,0.111581,0.991998,0.222871,-0.504675,-0.008299,-0.332350,-0.375154,1.004102,0.667873,-0.057524,0.001830
0.800000,-0.083461,0.106413,0.985260,-0.291155,0.059701,-0.007637,0.474456,0.378943,1.003935,-0.439765,0.148736,0.002664,0.709423,-0.119392,0.997646,0.004576,0.454728,0.003567,-0.579295,0.101412,0.991835,0.225754,-0.512187,-0.007946,-0.318931,-0.376307,1.004137,0.674051,-0.057719,0.001717
0.820000,-0.089375,0.107549,0.985114,-0.300235,0.053901,-0.006989,0.465598,0.381967,1.003986,-0.446014,0.153565,0.002420,0.709494,-0.110249,0.997720,0.002440,0.459458,0.003795,-0.574751,0.091094,0.991680,0.228657,-0.519578,-0.007579,-0.305390,-0.377462,1.004170,0.679976,-0.057777,0.001601
0.840000,-0.095470,0.108568,0.984981,-0.309230,0.047965,-0.006341,0.456616,0.385085,1.004032,-0.452202,0.158262,0.002168,0.709520,-0.101015,0.997798,0.000130,0.463963,0.004023,-0.570149,0.080630,0.991532,0.231587,-0.526790,-0.007199,-0.291734,-0.378617,1.004201,0.685594,-0.057681,0.001482
0.860000,-0.101744,0.109467,0.984860,-0.318140,0.041890,-0.005692,0.447510,0.388296,1.004072,-0.458331,0.162826,0.001907,0.709498,-0.091692,0.997881,-0.002351,0.468242,0.004252,-0.565488,0.070023,0.991392,0.234544,-0.533824,-0.006807,-0.277968,-0.379768,1.004230,0.690904,-0.057430,0.001361
0.880000,-0.108195,0.110243,0.984753,-0.326964,0.035679,-0.005042,0.438283,0.391597,1.004108,-0.464399,0.167257,0.001638,0.709424,-0.082287,0.997968,-0.005006,0.472296,0.004480,-0.560767,0.059278,0.991260,0.237527,-0.540679,-0.006403,-0.264100,-0.380913,1.004256,0.695906,-0.057024,0.001238
0.900000,-0.114822,0.110893,0.984659,-0.335703,0.029330,-0.004391,0.428935,0.394986,1.004138,-0.470407,0.171556,0.001361,0.709296,-0.072802,0.998060,-0.007832,0.476125,0.004708,-0.555986,0.048397,0.991136,0.240537,-0.547355,-0.005986,-0.250134,-0.382048,1.004279,0.700599,-0.056464,0.001112
0.920000,-0.121622,0.111415,0.984577,-0.344294,0.022860,-0.003743,0.419467,0.398458,1.004162,-0.476333,0.175684,0.001079,0.709110,-0.063243,0.998156,-0.010837,0.479701,0.004936,-0.551145,0.037385,0.991020,0.243585,-0.553806,-0.005560,-0.236078,-0.383170,1.004300,0.704947,-0.055731,0.000984
0.940000,-0.128592,0.111807,0.984509,-0.352672,0.016282,-0.003099,0.409882,0.402012,1.004181,-0.482154,0.179602,0.000796,0.708862,-0.053616,0.998257,-0.014026,0.482996,0.005161,-0.546243,0.026247,0.990913,0.246682,-0.559984,-0.005127,-0.221939,-0.384276,1.004318,0.708908,-0.054812,0.000855
0.960000,-0.135727,0.112066,0.984453,-0.360839,0.009598,-0.002459,0.400182,0.405641,1.004194,-0.487872,0.183310,0.000510,0.708548,-0.043925,0.998363,-0.017398,0.486009,0.005385,-0.541278,0.014988,0.990815,0.249827,-0.565888,-0.004687,-0.207724,-0.385361,1.004334,0.712484,-0.053704,0.000724
0.980000,-0.143024,0.112190,0.984411,-0.368794,0.002807,-0.001825,0.390368,0.409343,1.004201,-0.493486,0.186809,0.000224,0.708164,-0.034177,0.998473,-0.020954,0.488742,0.005606,-0.536249,0.003613,0.990726,0.253021,-0.571520,-0.004241,-0.193442,-0.386423,1.004347,0.715675,-0.052409,0.000591
1.000000,-0.150478,0.112177,0.984380,-0.376538,-0.004091,-0.001194,0.380443,0.413112,1.004203,-0.498996,0.190098,-0.000064,0.707708,-0.024378,0.998587,-0.024694,0.491193,0.005825,-0.531156,-0.007871,0.990646,0.256264,-0.576879,-0.003787,-0.179100,-0.387457,1.004358,0.718480,-0.050926,0.000458
1.020000,-0.158084,0.112025,0.984363,-0.384021,-0.011082,-0.000571,0.370409,0.416945,1.004199,-0.504375,0.193139,-0.000350,0.707175,-0.014532,0.998706,-0.028618,0.493346,0.006041,-0.525998,-0.019460,0.990575,0.259572,-0.581908,-0.003331,-0.164706,-0.388459,1.004366,0.720877,-0.049244,0.000323
1.040000,-0.165837,0.111733,0.984357,-0.391198,-0.018153,0.000043,0.360269,0.420836,1.004189,-0.509596,0.195894,-0.000629,0.706562,-0.004646,0.998829,-0.032730,0.495180,0.006252,-0.520773,-0.031145,0.990513,0.262960,-0.586552,-0.002874,-0.150268,-0.389425,1.004371,0.722846,-0.047352,0.000188
1.060000,-0.173730,0.111299,0.984364,-0.398067,-0.025305,0.000649,0.350026,0.424779,1.004174,-0.514660,0.198362,-0.000900,0.705865,0.005273,0.998956,-0.037027,0.496698,0.006458,-0.515479,-0.042919,0.990460,0.266430,-0.590811,-0.002418,-0.135795,-0.390351,1.004373,0.724386,-0.045248,0.000052
1.080000,-0.181757,0.110721,0.984383,-0.404629,-0.032537,0.001245,0.339684,0.428768,1.004153,-0.519565,0.200544,-0.001165,0.705080,0.015220,0.999087,-0.041511,0.497898,0.006660,-0.510115,-0.054775,0.990416,0.269981,-0.594684,-0.001962,-0.121295,-0.391233,1.004373,0.725496,-0.042935,-0.000084
